71.4    5.145   936.36   831.58   
71.69   5.241   935.12   819.95   
72.32   5.389   948.91   822.83 
71.51   5.211   918.88   818.57
68.48   5.154   931.61   827.38   
70.70   5.105   925.85   821.31  
71.77   5.191   929.13   826.13 
70.73   5.013   939.14   823.15
67.34   5.582   945.24   820.78   
71.74   5.208   949.95   829.96  
71.25   5.142   941.79   830.26 
69.47   5.284   946.80   809.95 
71.21   5.262   947.99   829.9  
71.66   6.838   1129.17  967.53   
68.94   6.215   1150.62  966.87  
68.97   6.817   1145.79  957.04 
70.24   6.889   1139.77  954.35  
70.26   6.732   1136.88  967.8  
68.00   6.717   1138.97  976.68 
69.57   6.468   1131.04  978.27 
69.87   6.776   1138.82  978.44 
71.11   6.574   1136.29  970.11 
70.97   6.465   1131.49  980.06 
68.09   6.090   1124.74  976.1 
71.39   6.350   1125.07  978.13
70.46   4.255   816.78   730.73 
69.50   4.154   810.17   725.72   
70.32   4.211   835.06   746.86   
70.19   4.287   836.51   736.59   
69.75   4.104   829.94   735.87   
69.55   4.007   815.14   731.32   
70.56   4.261   822.29   735.42   
69.65   4.150   810.27   723.39   
68.48   4.040   837.85   743.75   
69.95   4.155   841.18   740.22   
61.05   5.086   809.55   1079.14  
60.27   5.021   806.13   1065.54  
60.84   5.040   809.79   1073.59  
60.81   5.247   813.64   1075.83  
60.57   5.125   817.0    1077.35  
61.16   5.136   816.84   1079.07  
60.52   4.949   808.85   1064.65  
61.36   5.253   818.39   1069.94  
60.32   5.154   814.78   1077.56  
60.81   5.227   818.27   1074.02  
60.92   5.120   802.9    1068.0    
61.22   5.291   810.0    1070.0     
61.57   5.294   825.79   1081.6   
61.91   5.304   822.48   1069.21  
61.69   5.209   825.4    1086.77 
54.83   5.384   685.18   1234.95  
53.71   5.490   685.47   1244.24  
55.76   5.563   688.31   1243.03  
55.21   5.532   691.37   1250.86  
54.95   5.372   689.84   1245.13  
54.99   5.423   688.88   1246.25  
49.37   7.237   851.89   1622.9   
50.92   6.944   853.08   1627.81  
54.33   6.957   851.84   1620.82  
50.18   7.138   852.22   1627.15  
53.63   7.009   857.05   1624.64  
49.77   7.074   853.53   1616.26  
52.96   7.046   852.13   1615.68  
